slug,name,type,service_category,region,tags,phone,website,email_1,address,street,postal_code,latitude,longitude,rating,reviews,working_hours,about,photo,facebook,instagram,place_id
hatched-confinement-oasis,Hatched Confinement Oasis,Pregnancy care center,,Central,wheelchair-accessible,+65 8951 5538,https://www.hatched.com.sg/,hello@hatchplus.com.sg,"11 Orchard Turn, Singapore 238800",11 Orchard Turn,238800,1.3029191,103.8326532,4.8,57,"{""Monday"": [""9am-6pm""], ""Tuesday"": [""9am-6pm""], ""Wednesday"": [""9am-6pm""], ""Thursday"": [""9am-6pm""], ""Friday"": [""9am-6pm""], ""Saturday"": [""9am-1pm""], ""Sunday"": [""Closed""]}","{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Amenities"": {""Toilet"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Children"": {""Nursing room"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEtPzbGhVTq3vT2Q3LpUy2nSttudOAv4ZaKUwF0_S5dJafuzt-eaQBZT-RVGvIf3jvCIO0syXiQ8ow7FaZPxSi7xaoKNF2VBdqSbVaPbMYbRyVUigZ2nQWNC10xSeMg6dUk-4La=w800-h500-k-no,,,ChIJGcBtO2kZ2jERHUhHzw3RwKc
thomson-parentcraft-centre-lactation-consultants-breastfeedi,"Thomson ParentCraft Centre - Lactation Consultants, Breastfeeding Consultations, Antenatal courses",Pregnancy care center,Postnatal Services,Central,wheelchair-accessible,+65 6251 4090,https://www.thomsonmedical.com/courses-and-workshops%3Futm_source%3Dgoogle%26utm_medium%3Dlocal,Cfitzg6505@aol.Com,"1 Thomson Road, Balestier Hill Shopping Centre, #01-346, Thomson Rd, Singapore 300001","1 Thomson Road, Balestier Hill Shopping Centre, #01-346, Thomson Rd",300001,1.3256709,103.84272,5.0,257,"{""Monday"": [""8:30am-5:30pm""], ""Tuesday"": [""8:30am-5:30pm""], ""Wednesday"": [""8:30am-5:30pm""], ""Thursday"": [""8:30am-5:30pm""], ""Friday"": [""8:30am-5:30pm""], ""Saturday"": [""8:30am-12:30pm""], ""Sunday"": [""Closed""]}","{""Service options"": {""On-site services"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Amenities"": {""Gender-neutral toilets"": true, ""Toilet"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""NFC mobile payments"": true}, ""Children"": {""Nursing room"": true}, ""Parking"": {""Paid street parking"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAElJB-b6m9RLkOErvAEkETQW_PSQNsyCezYaOmxX3nl3wjemha2SJwvLq-UILrLZFvjHE6RFKG_CoMTZnt9zxSd0xFpEaqcGkXq8xb0vOh5QNbkbxxET7uH8ckLtvH7KqN-Gz8X=w800-h500-k-no,http://www.facebook.com/thomsonmedical,,ChIJQ87hyeEZ2jERhSUMf3rrZsA
parentlink-singapore,ParentLink Singapore,Pregnancy care center,,West,wheelchair-accessible,+65 9012 0071,http://www.parentlink.org/,shayna@parentlink.org,"15 Tham Soong Ave, Singapore 597031",15 Tham Soong Ave,597031,1.3427724,103.7741274,4.6,9,"{""Monday"": [""9am-9pm""], ""Tuesday"": [""9am-9pm""], ""Wednesday"": [""9am-9pm""], ""Thursday"": [""9am-9pm""], ""Friday"": [""9am-9pm""], ""Saturday"": [""Closed""], ""Sunday"": [""9am-9pm""]}","{""Service options"": {""On-site services"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointments recommended"": true}}",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9rI95ioKAPucGN_r-4Vr7A&cb_client=search.gws-prod.gps&w=800&h=500&yaw=258.52643&pitch=0&thumbfov=100,https://www.facebook.com/pages/,,ChIJq6r6r8oX2jERwPaz8aC_Cm4
super-nanny-services,Super Nanny Services (Confinement Nanny),Child care agency,Nanny Agency,Central,,+65 9125 0024,http://www.supernannyservices.com.sg/,info@supernannyservices.com.sg,"290 Orchard Road, Tower 1, #14-09 Paragon, 238859","290 Orchard Road, Tower 1, #14-09 Paragon",238859,1.3039054,103.8355763,4.8,60,"{""Monday"": [""9am-9pm""], ""Tuesday"": [""9am-9pm""], ""Wednesday"": [""9am-9pm""], ""Thursday"": [""9am-9pm""], ""Friday"": [""9am-9pm""], ""Saturday"": [""9am-9pm""], ""Sunday"": [""9am-9pm""]}",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE47iS8O8aNeQdlaHEkKWmN7PlFrRnQPuVwf2GUVz0mIbZPB639UaXAnQRxVJS-AngwfyVy94dsO9634QB6cgZmt6lQX3_7xegACYJphxh7EDFEkvd9C5KrTIZ_bPRmZvDE286G=w800-h500-k-no,http://www.facebook.com/pages/,,ChIJrXJ2jYwZ2jERji9TDfogOOk
aunty-sg-confinement-nannies-and-babysitting-services,Aunty SG - Confinement Nannies and Babysitting Services,Child care agency,Nanny Agency,Central,,+65 9755 1350,https://aunty.sg/%3Futm_source%3Dgoogle%26utm_medium%3Dgbp%26utm_campaign%3Dgbp_profile%26utm_content%3Dwebsite_button,hello@aunty.sg,"10 Raeburn Prk, #02-08, Singapore 088702","10 Raeburn Prk, #02-08",88702,1.273309,103.833495,4.9,335,"{""Monday"": [""9am-6pm""], ""Tuesday"": [""9am-6pm""], ""Wednesday"": [""9am-6pm""], ""Thursday"": [""9am-6pm""], ""Friday"": [""9am-6pm""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6MaOGPTFvIoFMlGjiM4EEFgaBSc-62oVRTvSBZkUzSIujjuHIsKwjSARUoEiSE51qZL5dPD4T3iI0FWG6z7eXeVphTXhb0M9NaQFtk_vBffX3b7GkEg_60JMY4p5uiGZB0CsKQS9JRGOp=w800-h500-k-no,https://www.facebook.com/auntysg/,https://www.instagram.com/aunty.sg,ChIJT8H_FxHZYa8RCiJ9qAqMkrA
professional-partum-care-tcm,Professional Partum Care TCM (Home Service),Pregnancy care center,Postnatal Services,West,wheelchair-accessible,+65 8822 3026,https://www.facebook.com/zxxhappy,mummybabycaretcm@gmail.com,"803B Keat Hong Cl, Singapore 682803",803B Keat Hong Cl,682803,1.3732769,103.7434881,5.0,11,"{""Monday"": [""10am-8pm""], ""Tuesday"": [""10am-8pm""], ""Wednesday"": [""10am-8pm""], ""Thursday"": [""10am-8pm""], ""Friday"": [""10am-8pm""], ""Saturday"": [""10am-8pm""], ""Sunday"": [""3-6:30pm""]}","{""From the business"": {""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Other"": {""Identifies as women-owned"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3cHgbVAqaTznh3z_gRROdhVntrAzjRCqbjw7qds5AyUOu9xxIr_rZt8XpkMdjl3gg9lRd294rWYDoLFZo0OHoQx-jGQ_go8ErOm1lipgPv_TfLQ-KCsmt2LZlrSTTgFr1mQ0kBJYu2-yR=w800-h500-k-no,https://www.facebook.com/zxxhappy,,ChIJIR6R4kUR2jERxc8y_MpYzSU
motherlove-ngee-ann-city,Motherlove Ngee Ann City (SchöneMama),Pregnancy care center,,Central,wheelchair-accessible,+65 6904 5448,http://www.motherlove.com.sg/,support@motherlove.com.sg,"391 Orchard Road, Ngee Ann City Tower B #05-20, 238873","391 Orchard Road, Ngee Ann City Tower B #05-20",238873,1.3039993,103.8317285,4.8,729,"{""Monday"": [""10am-8pm""], ""Tuesday"": [""10am-8pm""], ""Wednesday"": [""10am-8pm""], ""Thursday"": [""10am-8pm""], ""Friday"": [""10am-8pm""], ""Saturday"": [""10am-8pm""], ""Sunday"": [""10am-8pm""]}","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""NFC mobile payments"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHlcSgWXS08QfNgDfpQWS7id7Sd9ATZf7eHjTUmp0m2B1DJb7WKBHFV7KbM7PV9o-lcUeAsOvUnZE3ECu5M79N37NbmmdlwBQ69ReShG43gM3nTwA3xgcIDWHHKwoTEQ7qSAbwMshVxjKE=w800-h500-k-no,,,ChIJlXUnny0Z2jERxH4McxoD7a4
baby-s-whisperer,Baby's Whisperer (Confinement Nanny Agency),Pregnancy care center,Nanny Agency,Central,,+65 8816 9013,https://www.babyswhisperer.com/,hello@babyswhisperer.com,"339 Thomson Rd, Thomson Medical Centre, Booth Opposite Information Counter, 307677","339 Thomson Rd, Thomson Medical Centre, Booth Opposite Information Counter",307677,1.3254629,103.8414575,3.9,61,"{""Monday"": [""9am-6pm""], ""Tuesday"": [""9am-6pm""], ""Wednesday"": [""9am-6pm""], ""Thursday"": [""9am-6pm""], ""Friday"": [""9am-6pm""], ""Saturday"": [""9am-1pm""], ""Sunday"": [""Closed""]}","{""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointments recommended"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEBhN2Gr2s7cWDojePuhHRKY8F1fNAblCuKw2jKzv-NMZnpySCF3SDGc0cQbC3SaOTa8zFxEossRMZRB0bKix-DFjPcqwQ5fWfuIefviW6cy6sdiIHh-hCyMgCs1SVXAdkGJaU4t84AfcI=w800-h500-k-no,https://www.facebook.com/Babyswhisperer,https://www.instagram.com/Babyswhisperer,ChIJbwAkv3kW2jERi36M2fwSnvE
re-joy-suites,Re'Joy Suites,Wellness hotel,,Central,,+65 8019 2222,https://rejoy.sg/,info@rejoy.com.sg,"106 Braddell Rd, Singapore 359912",106 Braddell Rd,359912,1.3445868,103.8651819,4.8,92,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQmtag1eTR7W6S9CcID5Y2aTCXr30cpfQe2owCBd2dtGELHDoO8zEmFPtDakFIQ3ZJORDrEmnqF2yDN4BHY13PLNSu-ZW2yP8GfkXGjjFcYQi2UosEHS3gIk7ULA2nIkFdgsc=w800-h500-k-no,https://www.facebook.com/rejoysuites,https://www.instagram.com/rejoysuites,ChIJ4_da_roX2jERxvRuKKO_T6Y
momley-loft,momley LOFT,Wellness center,Postnatal Services,East,"24-hour,wheelchair-accessible",,https://www.momleyloft.com/,hello@momleyloft.com,"Aranda Country Club Executive Suites Level 3, 60 Pasir Ris Dr 3, 519497","Aranda Country Club Executive Suites Level 3, 60 Pasir Ris Dr 3",519497,1.3774022,103.9536536,4.7,89,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}","{""Service options"": {""On-site services"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true}, ""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}, ""Parking"": {""Free parking lot"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhK4QICeqk-bapy5v7ERHnNUhnt24YygzabTzTwoCrtNWAESRV0qm56k4WFC4EvpZhdOVuqMbeRDdyosXdIYQFVMOLXpB5nMjMTYkZ16VJzuye5GSdbQ_HTwCNTf3UsBwOMCHo=w800-h500-k-no,https://www.facebook.com/100192935566740,,ChIJRVRTAZA92jERlJE4XGWaRO4
pem-confinement-nanny-agency-pte-ltd,PEM Confinement Nanny Agency Pte Ltd,Child care agency,Nanny Agency,North,,+65 6293 9249,https://pemconfinement.com/,sulynchay@pemconfinement.com,"7 Gambas Cres, #09-10 ARK@Gambas, Singapore 757087","7 Gambas Cres, #09-10 ARK@Gambas",757087,1.444887,103.8128722,4.9,6556,"{""Monday"": [""10am-7pm""], ""Tuesday"": [""10am-7pm""], ""Wednesday"": [""10am-7pm""], ""Thursday"": [""10am-7pm""], ""Friday"": [""10am-7pm""], ""Saturday"": [""10am-7pm""], ""Sunday"": [""10am-7pm""]}",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH2D-T-DpvSVbVK05epbsC23OEMew-5S3rE0U2ABx_FroCe-SbIdG3h3zpWBFcEMOLl3EN1BanwXlufokzURtAGRu3g7UO-Z3Ku_8iMuyMXBaY0AgEjSak4sWbOJAq5kPNrRU03SPxm6FyH=w800-h500-k-no,https://www.facebook.com/PEMConfinementNanny/,https://www.instagram.com/pemconfinementnanny,ChIJkauC0awT2jERL2ZZwsygdpY
confinement-nanny-newbubs-confinement-pte-ltd,Confinement Nanny - NewBubs Confinement Pte Ltd,Pregnancy care center,Nanny Agency,Central,,+65 8912 8282,https://www.newbubs.sg/,sales@newbubs.sg,"601 MacPherson Rd, #08-17 Grantral Mall/Grantral Complex@Macpherson, Singapore 368242","601 MacPherson Rd, #08-17 Grantral Mall/Grantral Complex@Macpherson",368242,1.3335017,103.8871113,4.9,267,"{""Monday"": [""9am-6pm""], ""Tuesday"": [""9am-6pm""], ""Wednesday"": [""9am-6pm""], ""Thursday"": [""9am-6pm""], ""Friday"": [""9am-6pm""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}","{""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointment required"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEspiSh1rVAGMzJlissncmDv9lfhaD5xcjNOy0M0JSNpoTUFwKd2VmIQaZXO6aMyE1ESvCwvLxyHFfv7Y1zWjMEouoyhxNIFwDq7DqfiRNWUzjNwlVU9R0REbk5SP47am5M-J9y_m9awA7z=w800-h500-k-no,,https://www.instagram.com/newbubs.sg,ChIJQdlnWZChdWgRH8cTRTzbIxM
